character,pinyin,english,hsk
崇高,chóng gāo,"lofty, sublime",6
冲击,chōng jī,"shock, strike, attack, impact",6
崇敬,chóng jìng,"respect, to revere, to respect",6
充沛,chōng pèi,"abundant, plentiful",6
充实,chōng shí,"to enrich, to replenish, substantial, rich",6
冲突,chōng tū,"conflict, clash, to conflict, to clash",6
重阳节,Chóng yáng jié,Chong Yang festival,6
充足,chōng zú,"adequate, sufficient, abundant",6
筹备,chóu bèi,"preparation, to get ready for, to prepare",6
踌躇,chóu chú,to hesitate,6
丑恶,chǒu è,"ugly, repulsive",6
抽空,chōu kòng,to find the time to do sth.,6
稠密,chóu mì,"thick, dense, intimate",6
储备,chǔ bèi,"reserves, to store up",6
初步,chū bù,"initial, preliminary",6
储存,chǔ cún,"storage, deposition, to store up, to stockpile",6
触犯,chù fàn,"to offend, to violate",6
处分,chǔ fèn,"punishment, to punish, to discipline",6
处境,chǔ jìng,"plight, (unfavourable) situation",6
出路,chū lù,way out (of difficulty),6
出卖,chū mài,"to sell, to sell out, to betray",6
出身,chū shēn,"family background, origin",6
出神,chū shén,to be lost in thought,6
出息,chū xi,"promise, prospects",6
储蓄,chǔ xù,"savings, to deposit money, to save",6
出洋相,chū yáng xiàng,to make a fool of oneself,6
处置,chǔ zhì,"to handle, to deal with, to punish",6
串,chuàn,"to string together, to connect Measure, for rows, strings, skewers etc.",6
船舶,chuán bó,"ships, boats",6
传达,chuán dá,"to pass on, to transmit",6
传单,chuán dān,"leaflet, flier",6
川流不息,chuān liú bù xī,to flow in an endless stream,6
喘气,chuǎn qì,"to pant, to gasp, to breathe deeply",6
传授,chuán shòu,"to pass on, to teach, to impart",6
穿越,chuān yuè,"to pass though, to cross",6
床单,chuáng dān,bed sheet,6
创立,chuàng lì,"to found, to establish",6
创新,chuàng xīn,"innovation, to bring forth new ideas, to innovate",6
创业,chuàng yè,"to start an enterprise, to do pioneering work",6
创作,chuàng zuò,"creation, creative work, to create, to produce, to write",6
锤,chuí,"hammer, to hammer",6
吹牛,chuī niú,"to brag, to boast",6
吹捧,chuī pěng,"to flatter, to lavish praise on",6
垂直,chuí zhí,"vertical, perpendicular",6
纯粹,chún cuì,"pure, simple, absolute",6
纯洁,chún jié,"to purify, pure, chaste, honest",6
刺,cì,"thorn, splinter, to stab",6
伺候,cì hòu,"to serve, to wait on",6
词汇,cí huì,"vocabulary, words and phrases",6
次品,cì pǐn,"substandard products, defective goods",6
慈祥,cí xiáng,kind,6
雌雄,cí xióng,male and female,6
次序,cì xù,"suquence, order",6
丛,cóng,"collection, tussock, thicket Measure, for some plants",6
从容不迫,cóng róng bù pò,"calm, unhurried",6
凑合,còu he,"to gather together, to improvise, passable, not too bad",6
粗鲁,cū lǔ,"rude, rough, impolite",6
窜,cuàn,"to flee, to escape",6
摧残,cuī cán,"to devastate, to ruin",6
脆弱,cuì ruò,"flimsy, weak, frail",6
搓,cuō,to rub the hands together,6
磋商,cuō shāng,"consultation, to consult, to discuss, to negotiate",6
挫折,cuò zhé,"setback, reverse, defeat",6
搭,dā,"to put up, to build, to take (boat, bus, train, etc.)",6
打包,dǎ bāo,"to pack, to wrap",6
答辩,dá biàn,"plea (law), to reply to a charge",6
大不了,dà bu liǎo,"at worst, if worst comes to worst",6
大臣,dà chén,minister (in monarchy),6
达成,dá chéng,"to reach (agreement), to accomplish",6
搭档,dā dàng,"partner, to cooperate, to work together",6
答复,dá fù,"to answer, to reply",6
打官司,dǎ guān si,"to sue, to go to court",6
大伙儿,dà huǒ r,"everyone, all of us",6
打击,dǎ jī,"blow, hit, to strike, to hit, to attack",6
打架,dǎ jià,"fight, fistfight, to fight, to scuffle",6
打量,dǎ liang,"to take measure of, to suppose, to reckon",6
打猎,dǎ liè,"hunt, to go hunting",6
搭配,dā pèi,"to arrange, to match",6
大厦,dà shà,"large building, mansion",6
大肆,dà sì,"wantonly, without restraint",6
大体,dà tǐ,"in general, roughly, more or less",6
大意,dà yi,"general idea, main idea",6
打仗,dǎ zhàng,"to go to war, to fight, to make war",6
大致,dà zhì,"roughly, more or less",6
逮捕,dài bǔ,"arrest, to arrest, to apprehend",6
代价,dài jià,"price, cost",6
代理,dài lǐ,"agency, representation, to act on behalf of, to represent",6
带领,dài lǐng,"to guide, to lead",6
怠慢,dài màn,"to neglect, to slight",6
歹徒,dǎi tú,"gangster, evil-doer",6
蛋白质,dàn bái zhì,protein,6
担保,dān bǎo,"to assure, to guarantee, to vouch for",6
诞辰,dàn chén,birthday,6
淡季,dàn jì,off season,6
胆怯,dǎn qiè,"timid, cowardly",6
诞生,dàn shēng,"to be born, to be founded",6
淡水,dàn shuǐ,"fresh water, potable water",6
党,dǎng,"party, association, society",6
档案,dàng àn,"file, record, archive",6
当场,dāng chǎng,"on the spot, at the scene",6
当初,dāng chū,"in the first place, originally",6
档次,dàng cì,"grade, quality, level",6
当面,dāng miàn,"face to face, in sbd.'s presence",6
当前,dāng qián,"current, present",6
当事人,dāng shì rén,"people concerned, party, client",6
当务之急,dāng wù zhī jí,matter of vital importance,6
当心,dāng xīn,"to take, care, to watch out",6
当选,dāng xuǎn,"to be elected, to win an election",6
倒闭,dǎo bì,to go bankrupt,6
导弹,dǎo dàn,guided missile,6
稻谷,dào gǔ,"paddy, rice crops",6
导航,dǎo háng,"navigation, to navigate",6
捣乱,dǎo luàn,"to make trouble, to disturb",6
盗窃,dào qiè,"steal, to steal",6
导向,dǎo xiàng,"guide, guideline",6
岛屿,dǎo yǔ,islands,6
得不偿失,dé bù cháng shī,the game is not worth the candle,6
得力,dé lì,"capable, competent",6
得天独厚,dé tiān dú hòu,"blessed, gifted, rich, unique, advantageous",6
得罪,dé zuì,"to offend, to displease, to commit an offense",6
蹬,dēng,"to tread on, to step on",6
瞪,dèng,"to stare, to open (one's eyes)",6
等级,děng jí,"grade, rank",6
灯笼,dēng long,lantern,6
登陆,dēng lù,"to land, to disembark, to log in",6
登录,dēng lù,"to register, to login",6
堤坝,dī bà,dam,6
地步,dì bù,"tight condition, plight, extent",6
抵达,dǐ dá,"to arrive, to reach",6
抵抗,dǐ kàng,"resistance, to resist, to fight back",6
敌视,dí shì,"to be hostile to, to stand against",6
地势,dì shì,"topography, terrain",6
递增,dì zēng,to increase progressively,6
抵制,dǐ zhì,"to boycott, to resist, to reject",6
地质,dì zhì,geology,6
垫,diàn,"pad, cushion, mat, to pad",6
颠簸,diān bǒ,"to jolt, to bump",6
颠倒,diān dǎo,"to turn upside down, reversed, inverted, confused",6
奠定,diàn dìng,"to establish, to found",6
惦记,diàn jì,"to be concerned about, keep thinking about",6
典礼,diǎn lǐ,"celebration, ceremony",6
典型,diǎn xíng,"typical case, model",6
电源,diàn yuán,electric power source,6
点缀,diǎn zhuì,"to intersperse, to embellish, to decorate",6
叼,diāo,to hold by the teeth or lips,6
吊,diào,"to hang, to suspend, to express condolence to",6
调动,diào dòng,"to transfer, to maneuver (troops, etc.)",6
雕刻,diāo kè,"carving, to carve, to engrave",6
雕塑,diāo sù,"statue, sculpture, to carve",6
跌,diē,"to drop, to fall down",6
盯,dīng,"to gaze at, fix one's eyes on, to watch attentively",6
定期,dìng qī,"regular, periodical",6
定义,dìng yì,definition,6
叮嘱,dīng zhǔ,"to exhort repeatedly, to urge",6
丢人,diū rén,to lose face,6
丢三落四,diū sān là sì,"forgetful, scatterbrained",6
栋,dòng,"Measure, for houses, buildings",6
动荡,dòng dàng,"turbulence, unrest (political), upheaval",6
东道主,dōng dào zhǔ,host,6
动机,dòng jī,"motive, intention, motivation",6
冻结,dòng jié,"to freeze (loan, price, etc.), to block",6
动静,dòng jing,"sound of movement, activity, happening",6
动力,dòng lì,"power, driving force, motive power",6
动脉,dòng mài,artery,6
动身,dòng shēn,"to leave, to go on a journey",6
董事长,dǒng shì zhǎng,"chairman of the board, president",6
动手,dòng shǒu,"to start work, to begin, to hit with hands",6
动态,dòng tài,"developments, trends",6
洞穴,dòng xué,"cave, cavern",6
动员,dòng yuán,"mobilization, to mobilize, to arouse",6
东张西望,dōng zhāng xī wàng,"to peer in all directions, to look around",6
兜,dōu,"pocket, bag, to wrap up (in clothes)",6
陡峭,dǒu qiào,"steep, cliffy, precipitous",6
斗争,dòu zhēng,"struggle, fight, to fight, to combat, to battle",6
赌博,dǔ bó,"gambling, to gamble, to bet",6
独裁,dú cái,"dictatorship, autocracy",6
督促,dū cù,to urge sbd. to do sth.,6
杜绝,dù jué,"to put an end to, to eliminate",6
毒品,dú pǐn,"drugs, narcotics, dope",6
堵塞,dǔ sè,"blockage, to cause an obstruction, to stop",6
都市,dū shì,"city, metropolis",6
端,duān,"extremity, end, point, to carry",6
短促,duǎn cù,"short, brief (time)",6
断定,duàn dìng,"to conclude, to come to a judgement",6
断断续续,duàn duàn xù xù,"off and on, intermittently",6
断绝,duàn jué,"to sever, to break off",6
端午节,Duān wǔ jié,Dragon Boat Festival,6
端正,duān zhèng,"upright, regular",6
对策,duì cè,countermeasure,6
对称,duì chèn,"symmetry, symmetrical",6
对付,duì fu,"to deal with, to cope with",6
兑换,duì huàn,"to convert, to exchange",6
堆积,duī jī,"to pile up, to accumulate",6
对抗,duì kàng,"resistance, confrontation, to withstand, to resist",6
对立,duì lì,"to oppose, opposite, opposing",6
对联,duì lián,rhyming couplet,6
队伍,duì wu,"troops, ranks",6
兑现,duì xiàn,"to cash (cheque, etc.)",6
对应,duì yìng,"to correspond, corresponding, homologous",6
对照,duì zhào,"comparison, to compare, to contrast",6
顿时,dùn shí,"at once, immediately, suddenly",6
堕落,duò luò,"to degenerate, to corrupt",6
哆嗦,duō suo,"to tremble, to shiver, to quiver",6
多元化,duō yuán huà,"diversification, pluralism",6
恶化,è huà,to worsen,6
额外,é wài,"extra, additional",6
恶心,ě xin,"nausea, to feel sick",6
遏制,è zhì,"to keep within limits, not letting the impact be too big",6
恩怨,ēn yuàn,feeling of gratitude or resentment (at the same time),6
耳环,ěr huán,earring,6
二氧化碳,èr yǎng huà tàn,"carbon dioxide, CO2",6
而已,ér yǐ,"that's all, nothing more",6
发布,fā bù,"to release, to issue",6
发财,fā cái,to get rich,6
发呆,fā dāi,"to be lost in thought, to look absent-minded",6
发动,fā dòng,"to start, to launch, to arouse",6
发火,fā huǒ,"to catch fire, to ignite, to get angry",6
发觉,fā jué,"to become aware, to find, to discover",6
法人,fǎ rén,legal person,6
发射,fā shè,"to start, to fire, to launch",6
发誓,fā shì,"to vow, to swear",6
发行,fā xíng,"to publish, to issue, to distribute, to release",6
发炎,fā yán,"inflammation, to inflame, inflamed",6
发扬,fā yáng,"to develop, to enhance",6
发育,fā yù,"development, growth, to develop",6
番,fān,"to take turns Measure, times",6
反驳,fǎn bó,"to retort, to refute",6
反常,fǎn cháng,"unusual, abnormal",6
范畴,fàn chóu,category,6
反倒,fǎn dào,"on the contrary, instead",6
反动,fǎn dòng,reactionary,6
反感,fǎn gǎn,"resentment, antipathy, disfavour",6
繁华,fán huá,flourishing,6
反抗,fǎn kàng,"to resist, to rebel",6
反馈,fǎn kuì,feedback,6
泛滥,fàn làn,"to flood, to overflow, to spread unchecked",6
贩卖,fàn mài,"to sell, to peddle",6
繁忙,fán máng,busy,6
反面,fǎn miàn,"the other side, reverse side",6
反射,fǎn shè,"reflection, to reflect, to reflex",6
反思,fǎn sī,"to rethink, to think over again",6
繁体字,fán tǐ zì,traditional character,6
反问,fǎn wèn,"rhetorical question, counter question",6
繁殖,fán zhí,"to breed, to reproduce",6
反之,fǎn zhī,"on the other hand, conversely",6
放大,fàng dà,"to enlarge, to magnify",6
放射,fàng shè,"radiation, emission, to radiate, to emit",6
防守,fáng shǒu,"to defend, to protect",6
放手,fàng shǒu,to let go,6
方位,fāng wèi,"direction, position",6
方言,fāng yán,dialect,6
防疫,fáng yì,"disease prevention, protection against epidemic",6
防御,fáng yù,"defense, to defend, to guard",6
方针,fāng zhēn,"policy, guidelines",6
防止,fáng zhǐ,"to prevent, to avoid",6
防治,fáng zhì,prevention and cure,6
纺织,fǎng zhī,spinning and weaving,6
诽谤,fěi bàng,"to slander, to libel, to defame",6
废除,fèi chú,"to abolish, to cancel, to abrogate",6
非法,fēi fǎ,illegal,6
飞禽走兽,fēi qín zǒu shòu,birds and animal,6
沸腾,fèi téng,"to boil, to reach ebullition",6
匪徒,fěi tú,"gangster, bandit",6
肥沃,féi wò,fertile,6
飞翔,fēi xiáng,to fly,6
废墟,fèi xū,ruins,6
飞跃,fēi yuè,"to leap, to jump",6
分辨,fēn biàn,"to distinguish, to defend oneself against an accusation",6
分寸,fēn cun,"judgement for propriety, propriety",6
吩咐,fēn fù,"to instruct, to tell, to command",6
分红,fēn hóng,"bonus, dividend, to draw dividend",6
分解,fēn jiě,"to resolve, to break down, to decompose",6
分量,fèn liàng,"weight, quantity",6
分裂,fēn liè,"fission, to split, to divide",6
分泌,fēn mì,to secrete,6
分明,fēn míng,"clearly demarcated, distinct",6
粉末,fěn mò,"powder, dust",6
坟墓,fén mù,tomb,6
分歧,fēn qí,"differences, discrepancy",6
分散,fēn sàn,"to disperse, to scatter",6
粉色,fěn sè,light pink,6
分手,fēn shǒu,to break up,6
粉碎,fěn suì,"to break, to smash, to shatter",6
逢,féng,"to meet by chance, to come across",6
风暴,fēng bào,storm,6
封闭,fēng bì,"to seal, to close, to confine",6
风度,fēng dù,"poise, grace, style",6
风光,fēng guāng,"scene, sight, landscape, good reputation",6
封建,fēng jiàn,"feudalism, feudal",6
锋利,fēng lì,sharp (e.g. knife),6
丰满,fēng mǎn,"plump, well-rounded, plentiful",6
风气,fēng qì,"common practice, atmosphere",6
风趣,fēng qù,"humor, humorous, witty",6
丰盛,fēng shèng,"rich, sumptuous",6
丰收,fēng shōu,have a good harvest,6
封锁,fēng suǒ,"to blockade, to seal off",6
风土人情,fēng tǔ rén qíng,local conditions and customs,6
风味,fēng wèi,flavor or style typical for a region,6
奉献,fèng xiàn,"dedication, to dedicate, to devote",6
否决,fǒu jué,"veto, to veto, to reject, to overrule",6
副,fù,"deputy, vice- Measure, for pairs, sets, etc.",6
腐败,fǔ bài,"corruption, corrupt, rotten",6
负担,fù dān,"burden, to bear a burden",6
幅度,fú dù,"range, extent",6
夫妇,fū fù,"(married) couple, husband and wife",6
覆盖,fù gài,"to cover, to lay over",6
符号,fú hào,"symbol, mark, sign",6
附和,fù hè,"to repeat what others say, to echo",6
复活,fù huó,"resurrection, to bring back to life, to revive",6
附件,fù jiàn,"enclosure, attachment, appendix",6
腐烂,fǔ làn,"to rot, to perish",6
福利,fú lì,well-being; welfare,6
俘虏,fú lǔ,"captive, prisoner, to capture, to arrest",6
服气,fú qì,"to be convinced, to accept",6
福气,fú qi,"good fortune, felicity",6
夫人,fū rén,"lady, madam",6
辐射,fú shè,"radiation, to radiate",6
腐蚀,fǔ shí,"corrosion, corruption, to corrode, to rot, to corrupt",6
附属,fù shǔ,"subsidiary, subordinate, attached",6
腹泻,fù xiè,"diarrhea, to have the runs",6
复兴,fù xīng,"rebirth, to revive, to renew",6
腐朽,fǔ xiǔ,"rotten, decayed",6
敷衍,fū yǎn,"to do sth. half-heartedly, to elaborate on",6
抚养,fǔ yǎng,"to foster, to bring up",6
俯仰,fǔ yǎng,"bend over, forward or down to watch",6
赋予,fù yǔ,"to assign, to give, to endow",6
富裕,fù yù,"richness, affluence, prosperous, rich, affluent",6
辅助,fǔ zhù,"auxiliary, to assist",6
副作用,fù zuò yòng,side effect,6
改良,gǎi liáng,to improve,6
盖章,gài zhāng,"to affix a seal, to stamp",6
尴尬,gān gà,"embarrassed, awkward",6
干旱,gān hàn,"drought, arid, dry",6
干劲,gàn jìn,"enthusiasm, vigor, drive",6
感慨,gǎn kǎi,to sigh with emotion,6
感染,gǎn rǎn,"infection, to infect, to influence",6
干扰,gān rǎo,"obstruction, to interfere, to disturb",6
干涉,gān shè,"interference, to interfere, to intervene",6
甘心,gān xīn,"to resign oneself to, willingly, readily",6
干预,gān yù,"intervention, to intervene, to meddle",6
杠杆,gàng gǎn,lever,6
港口,gǎng kǒu,"port, harbour",6
纲领,gāng lǐng,"guiding principle, program",6
港湾,gǎng wān,"natural harbour, bay",6
岗位,gǎng wèi,"post, position, station",6
高超,gāo chāo,"excellent, outstanding, superb",6
高潮,gāo cháo,"high tide, upsurge, climax, orgasm",6
告辞,gào cí,"to take leave, to bid farewell",6
高峰,gāo fēng,"peak, summit",6
稿件,gǎo jiàn,"manuscript, rough draft",6
告诫,gào jiè,"warning, admonition, to warn, to admonish",6
高考,gāo kǎo,college entrance exam,6
高明,gāo míng,"wise, brilliant, bright",6
高尚,gāo shàng,"nobly, lofty, sublime",6
高涨,gāo zhǎng,"upsurge, wave, to run high, to rise",6
割,gē,"to cut, to cut apart",6
搁,gē,"to place, to put, to put aside",6
疙瘩,gē da,"lump, pimple, spot",6
隔阂,gé hé,"estrangement, barrier",6
格局,gé jú,"layout, structure, pattern",6
隔离,gé lí,"to seperate, to isolate",6
格式,gé shi,"format, specification",6
各抒己见,gè shū jǐ jiàn,everyone gives their own view,6
歌颂,gē sòng,"to sing the praise of, to extol",6
个体,gè tǐ,"individual, individuality, individual",6
跟前,gēn qián,in front of,6
根深蒂固,gēn shēn dì gù,"deep-rooted, ineradicable",6
跟随,gēn suí,to follow,6
根源,gēn yuán,"origin, root, source",6
跟踪,gēn zōng,"to tail, to run after, to follow",6
耕地,gēng dì,"arable land, cultivated land",6
更新,gēng xīn,"to replace, to renew, to update",6
更正,gēng zhèng,"correction, to correct, to make a correction",6
公安局,gōng ān jú,Public Security Bureau,6
供不应求,gōng bú yìng qiú,supply does not meet demand,6
公道,gōng dao,"justice, fair, just",6
宫殿,gōng diàn,palace,6
工夫,gōng fu,"labour, work, time skill, Kung Fu",6
公告,gōng gào,"announcement, bulletin",6
巩固,gǒng gù,"consolidation, to consolidate, to solidify",6
公关,gōng guān,public relations,6
共和国,gòng hé guó,republic,6
攻击,gōng jī,"attack, to attack, to accuse",6
供给,gōng jǐ,"to supply, to furnish, to provide",6
共计,gòng jì,"total, to total, to count up",6
恭敬,gōng jìng,"deferential, respectful",6
功课,gōng kè,homework,6
攻克,gōng kè,"to capture, to take, to seize",6
功劳,gōng láo,"contribution, credit, meritorious service",6
公民,gōng mín,citizen,6
共鸣,gòng míng,"resonance, sympathy",6
公婆,gōng pó,husband's parents,6
公然,gōng rán,"flagrantly, undisguised",6
公认,gōng rèn,to be generally acknowledged,6
公式,gōng shì,formula,6
公务,gōng wù,"public affairs, official business",6
功效,gōng xiào,efficacy,6
工艺品,gōng yì pǐn,handicraft,6
公正,gōng zhèng,"justice, just, fair",6
公证,gōng zhèng,"notarization, to notarize",6
勾结,gōu jié,"to collude with, to gang up with",6
构思,gòu sī,"conception, to design, to conceive",6
钩子,gōu zi,hook,6
股东,gǔ dōng,"shareholder, stockholder",6
古董,gǔ dǒng,"antique, curio",6
鼓动,gǔ dòng,"to agitate, to arouse, to incite",6
孤独,gū dú,lonely,6
股份,gǔ fèn,"share, stock",6
辜负,gū fù,"to fail to live up to, to be unworthy of, to disappoint",6
骨干,gǔ gàn,"backbone, diaphysis",6
古怪,gǔ guài,"eccentric, cranky, oddly, grotesque",6
孤立,gū lì,"isolation, to isolate, isolated",6
顾虑,gù lǜ,"misgivings, apprehensions, to have misgiving about",6
姑且,gū qiě,"temporarily, for the moment",6
固然,gù rán,"admittedly, it is true, no doubt",6
顾问,gù wèn,"adviser, consultant",6
故乡,gù xiāng,"home, hometown",6
固有,gù yǒu,"intrinsic, inherent, native",6
故障,gù zhàng,"malfunction, breakdown, defect, fault",6
固执,gù zhi,"stubborn, obstinate, pigheaded",6
拐杖,guǎi zhàng,"walking stick, crutches",6
罐,guàn,"can, jar, pot",6
贯彻,guàn chè,"to carry out, to implement, to put into practice",6
官方,guān fāng,"officials, authorities, official, authoritative",6
灌溉,guàn gài,"irrigation, to irrigate, to water",6
观光,guān guāng,"tourism, sightseeing, to tour, to go sightseeing",6
惯例,guàn lì,"convention, tradition",6
管辖,guǎn xiá,"to administer, to govern, to have jurisdiction over",6
关照,guān zhào,"to take care, to look after, to inform",6
光彩,guāng cǎi,"luster, splendor, brilliance, honorable, glorious",6
光辉,guāng huī,"radiance, brilliance, brilliant, magnificent",6
广阔,guǎng kuò,"wide, vast",6
光芒,guāng máng,rays of light,6
跪,guì,to kneel,6
轨道,guǐ dào,"railway, track, orbit",6
规范,guī fàn,"norm, rule, standard",6
规格,guī gé,"standard, norm, specification",6
归根到底,guī gēn dào dǐ,"to sum it up, in a final analysis, in the long run",6
规划,guī huà,"plan, program, to plan, to work out",6
归还,guī huán,"to return sth., to give back",6
归纳,guī nà,"to conclude, to sum up, to summarize",6
规章,guī zhāng,"rule, regulation",6
贵族,guì zú,"nobleman, aristocrat, aristocracy, lord",6
棍棒,gùn bàng,"club, cane, stick",6
过度,guò dù,excessive,6
过渡,guò dù,"transition, to cross over, interim",6
果断,guǒ duàn,"firm, decisive",6
国防,guó fáng,national defense,6
过奖,guò jiǎng,"to overpraise, to flatter",6
过滤,guò lǜ,"filtration, to filter",6
过失,guò shī,"error, fault, mistake",6
过问,guò wèn,"to ask about, to concern with",6
国务院,guó wù yuàn,"State Council (China), State Department (USA)",6
过瘾,guò yǐn,"to satisfy a craving, to enjoy fully",6
过于,guò yú,"excessively, too much",6
嗨,hāi,Hi!,6
海拔,hǎi bá,height above sea level,6
海滨,hǎi bīn,"shore, seaside",6
含糊,hán hu,"ambiguous, vague",6
罕见,hǎn jiàn,"rare, peculiar",6
捍卫,hàn wèi,"to defend, to uphold",6
寒暄,hán xuān,"to exchange conventional greetings, to make small talk",6
含义,hán yì,"meaning, implication",6
航空,háng kōng,aviation,6
行列,háng liè,"line, row, procession",6
航天,háng tiān,space flight,6
航行,háng xíng,"to sail, to fly, to navigate",6
耗费,hào fèi,"to use, to waste",6
好客,hào kè,"hospitality, to be hospitable, hospitable, friendly",6
豪迈,háo mài,"bold, heroic",6
毫米,háo mǐ,millimeter,6
毫无,háo wú,"not in the least, none whatsoever",6
号召,hào zhào,"to call, to appeal",6
呵,hē,"oh, ah",6
和蔼,hé ǎi,"kind, amiable",6
合并,hé bìng,"to merge, to unite, to incorporate",6
合成,hé chéng,"compound, synthesis, to compose, to constitute, to synthesize, synthetic",6
合乎,hé hū,"to accord with, conforming to",6
合伙,hé huǒ,"to cooperate, to form a partnership",6
和解,hé jiě,"reconciliation, compromise, to settle (a dispute out of court), to reconcile",6
和睦,hé mù,"peaceful relations, harmony, harmonious",6
和气,hé qi,"friendly, amiable",6
合身,hé shēn,to fit (clothes),6
合算,hé suàn,"reckon up, worthwhile, be worth the money",6
和谐,hé xié,harmonious,6
嘿,hēi,hey,6
恨不得,hèn bu de,"to itch to, wish one could do sth.",6
痕迹,hén jì,"mark, trace, vestige",6
狠心,hěn xīn,"heartless, cruel-hearted",6
哼,hēng,to express dissatisfaction,6
哄,hōng,roar of laughter,6
烘,hōng,"to bake, to warm by a fire",6
红包,hóng bāo,"cash gift, bribe",6
轰动,hōng dòng,"to cause a great sensation, to make a stir",6
宏观,hóng guān,macroscopic,6
洪水,hóng shuǐ,"flood, deluge",6
宏伟,hóng wěi,"grand, imposing, magnificent",6
吼,hǒu,"to roar, to howl, to shout",6
后代,hòu dài,"later generations, descendants, offsprings",6
后顾之忧,hòu gù zhī yōu,worries about the future consequences,6
喉咙,hóu lóng,"throat, larynx",6
后勤,hòu qín,logistics,6
候选,hòu xuǎn,candidate,6
互联网,hù lián wǎng,internet,6
胡乱,hú luàn,"carelessly, casually, at random",6
忽略,hū lüè,"to neglect, to overlook",6
湖泊,hú pō,lake,6
呼啸,hū xiào,"to whistle, to scream, to howl",6
呼吁,hū yù,"appeal, to appeal",6
花瓣,huā bàn,petal,6
化肥,huà féi,chemical fertilizer,6
划分,huà fēn,"to divide up, to mark off",6
华丽,huá lì,"gorgeous, magnificent",6
华侨,huá qiáo,overseas Chinese,6
画蛇添足,huà shé tiān zú,"to overdo it, to ruin the effect by adding sth. superfluous",6
化石,huà shí,fossil,6
话筒,huà tǒng,microphone,6
化验,huà yàn,"laboratory test, chemical analysis",6
化妆,huà zhuāng,"make-up, to put make-up on",6
怀孕,huái yùn,"pregnancy, to be pregnant",6
缓和,huǎn hé,"to ease, to relax, to moderate",6
环节,huán jié,"link, segment, connection",6
欢乐,huān lè,"gladness, pleasure, happy, joyous, gay",6
还原,huán yuán,"reduction (chem.), to restore to the original state",6
患者,huàn zhě,patient,6
黄昏,huáng hūn,"dusk, nightfall",6
荒凉,huāng liáng,desolate,6
慌忙,huāng máng,"hurried, hasty, in a great rush",6
荒谬,huāng miù,"absurd, ridiculous",6
恍然大悟,huǎng rán dà wù,to suddenly realize,6
荒唐,huāng táng,"ludicrous, absurd, beyond belief, fantastic",6
回报,huí bào,"payback, to reback, to requite",6
汇报,huì bào,"to report, to give an account of",6
回避,huí bì,"to avoid, to obviate",6
回顾,huí gù,"retrospection, to review, to look back",6
悔恨,huǐ hèn,"remorse, regret, to regret, to be seized with remorse",6
辉煌,huī huáng,"splendid, brilliant, glorious",6
挥霍,huī huò,"to squander (e.g. money), agile",6
贿赂,huì lù,"bribe, to bribe",6
毁灭,huǐ miè,"destruction, devastation, to destroy, to ruin",6
回收,huí shōu,"to reclaim, to retrieve, to recover",6
会晤,huì wù,"meeting, contact, to meet",6
混合,hùn hé,"to mix, to blend",6
混乱,hùn luàn,"chaos, confusion, disorder, chaotic, disorderly, unorganized",6
昏迷,hūn mí,"coma, stupor, unconscious",6
浑身,hún shēn,"from head to foot, all over",6
混淆,hùn xiáo,"to confuse, to mix up",6
混浊,hùn zhuó,"turbid, dirty",6
货币,huò bì,"currency, money",6
活该,huó gāi,"to serve sbd. right, deservedly",6
火箭,huǒ jiàn,rocket,6
活力,huó lì,"energy, vitality, vigor",6
或许,huò xǔ,"perhaps, maybe",6
火焰,huǒ yàn,"flame, blaze",6
火药,huǒ yào,gunpowder,6
即便,jí biàn,"even if, even thoug",6
级别,jí bié,"rank, level, grade",6
疾病,jí bìng,"disease, sickness",6
继承,jì chéng,"to inherit, to carry on, to succeed",6
基地,jī dì,"base, military base",6
机动,jī dòng,"motorized, power-driven, flexible, mobile",6
嫉妒,jí dù,"jealousy, to be jealous, to envy, jealous",6
季度,jì dù,"quarter, 3 months",6
极端,jí duān,"extreme, radical, utmost",6
饥饿,jī è,"hunger, starvation, hungry, starving",6
激发,jī fā,"to arouse, to excite, to inspire",6
急功近利,jí gōng jìn lì,looking only for fast success,6
机构,jī gòu,"mechanism, organization, institution",6
机关,jī guān,"office, mechanism, organ, intrigue, plot trick",6
籍贯,jí guàn,"native place, place of ancestry",6
忌讳,jì huì,"taboo, to abstain from",6
即将,jí jiāng,"to be about to, soon, right away",6
计较,jì jiào,"to haggle, to bicker",6
基金,jī jīn,fund,6
寂静,jì jìng,"silent, quiet",6
急剧,jí jù,"rapid, sudden, abrupt",6
季军,jì jūn,bronze medalist,6
激励,jī lì,"to encourage, to motivate",6
机灵,jī ling,"clever, quick-witted",6
机密,jī mì,"secret, secret, classified",6
技能,jì néng,"skill, technical ability",6
技巧,jì qiǎo,"skill, technique",6
急切,jí qiè,"eager, impatient",6
激情,jī qíng,"passion, enthusiasm",6
集团,jí tuán,"group, bloc, corporation",6
寄托,jì tuō,"to place (hope, etc.) on, consign",6
继往开来,jì wǎng kāi lái,building on the past and forming the future,6
极限,jí xiàn,"limit, utmost",6
吉祥,jí xiáng,"lucky, auspicious",6
迹象,jì xiàng,"sign, indication",6
讥笑,jī xiào,"ironical smile, to sneer at, to ridicule",6
机械,jī xiè,"machine, mechanical, inflexible",6
记性,jì xing,"memory, recall",6
纪要,jì yào,"minutes, written summary of a meeting",6
基因,jī yīn,gene,6
机遇,jī yù,opportunity,6
